Measure,Domain,Decile,Ethnicity,Ethnicity_type,Geography,Geography_type,Geography_code,Value,Value_type,Numerator,Denominator
Percentage of people living in these neighbourhoods,Environment Deprivation,70% to 80%,Bangladeshi,ONS 2011 18+1,England,Country,E92000001,2.6,%,11311,436514
Percentage of people living in these neighbourhoods,Environment Deprivation,80% to 90%,Bangladeshi,ONS 2011 18+1,England,Country,E92000001,2.3,%,9987,436514
Percentage of people living in these neighbourhoods,Environment Deprivation,10% least deprived,Bangladeshi,ONS 2011 18+1,England,Country,E92000001,1.6,%,6962,436514
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% most deprived,Black,ONS 2011 5+1,England,Country,E92000001,15.2,%,281554,1846614
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% to 20%,Black,ONS 2011 5+1,England,Country,E92000001,22.2,%,410140,1846614
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,20% to 30%,Black,ONS 2011 5+1,England,Country,E92000001,20,%,369678,1846614
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,30% to 40%,Black,ONS 2011 5+1,England,Country,E92000001,13.3,%,245390,1846614
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,40% to 50%,Black,ONS 2011 5+1,England,Country,E92000001,9.5,%,176347,1846614
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,50% to 60%,Black,ONS 2011 5+1,England,Country,E92000001,6.9,%,127817,1846614
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,60% to 70%,Black,ONS 2011 5+1,England,Country,E92000001,4.6,%,84921,1846614
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,70% to 80%,Black,ONS 2011 5+1,England,Country,E92000001,3.4,%,63666,1846614
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,80% to 90%,Black,ONS 2011 5+1,England,Country,E92000001,2.7,%,50700,1846614
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% least deprived,Black,ONS 2011 5+1,England,Country,E92000001,2,%,36401,1846614
Percentage of people living in these neighbourhoods,Income Deprivation,10% most deprived,Black,ONS 2011 5+1,England,Country,E92000001,19.8,%,365056,1846614
Percentage of people living in these neighbourhoods,Income Deprivation,10% to 20%,Black,ONS 2011 5+1,England,Country,E92000001,21.5,%,396434,1846614
Percentage of people living in these neighbourhoods,Income Deprivation,20% to 30%,Black,ONS 2011 5+1,England,Country,E92000001,17.3,%,319810,1846614
Percentage of people living in these neighbourhoods,Income Deprivation,30% to 40%,Black,ONS 2011 5+1,England,Country,E92000001,13.3,%,245800,1846614
Percentage of people living in these neighbourhoods,Income Deprivation,40% to 50%,Black,ONS 2011 5+1,England,Country,E92000001,9.7,%,179252,1846614
Percentage of people living in these neighbourhoods,Income Deprivation,50% to 60%,Black,ONS 2011 5+1,England,Country,E92000001,6.2,%,114978,1846614
Percentage of people living in these neighbourhoods,Income Deprivation,60% to 70%,Black,ONS 2011 5+1,England,Country,E92000001,4.1,%,75573,1846614
Percentage of people living in these neighbourhoods,Income Deprivation,70% to 80%,Black,ONS 2011 5+1,England,Country,E92000001,3,%,56093,1846614
Percentage of people living in these neighbourhoods,Income Deprivation,80% to 90%,Black,ONS 2011 5+1,England,Country,E92000001,2.5,%,45761,1846614
Percentage of people living in these neighbourhoods,Income Deprivation,10% least deprived,Black,ONS 2011 5+1,England,Country,E92000001,2.6,%,47857,1846614
Percentage of people living in these neighbourhoods,Employment Deprivation,10% most deprived,Black,ONS 2011 5+1,England,Country,E92000001,12.4,%,229745,1846614
Percentage of people living in these neighbourhoods,Employment Deprivation,10% to 20%,Black,ONS 2011 5+1,England,Country,E92000001,17.2,%,318392,1846614
Percentage of people living in these neighbourhoods,Employment Deprivation,20% to 30%,Black,ONS 2011 5+1,England,Country,E92000001,17,%,314564,1846614
Percentage of people living in these neighbourhoods,Employment Deprivation,30% to 40%,Black,ONS 2011 5+1,England,Country,E92000001,14.1,%,260706,1846614
Percentage of people living in these neighbourhoods,Employment Deprivation,40% to 50%,Black,ONS 2011 5+1,England,Country,E92000001,11.2,%,207531,1846614
Percentage of people living in these neighbourhoods,Employment Deprivation,50% to 60%,Black,ONS 2011 5+1,England,Country,E92000001,9.2,%,169163,1846614
Percentage of people living in these neighbourhoods,Employment Deprivation,60% to 70%,Black,ONS 2011 5+1,England,Country,E92000001,6.7,%,124083,1846614
Percentage of people living in these neighbourhoods,Employment Deprivation,70% to 80%,Black,ONS 2011 5+1,England,Country,E92000001,4.5,%,83411,1846614
Percentage of people living in these neighbourhoods,Employment Deprivation,80% to 90%,Black,ONS 2011 5+1,England,Country,E92000001,3.8,%,70960,1846614
Percentage of people living in these neighbourhoods,Employment Deprivation,10% least deprived,Black,ONS 2011 5+1,England,Country,E92000001,3.7,%,68059,1846614
Percentage of people living in these neighbourhoods,Education Deprivation,10% most deprived,Black,ONS 2011 5+1,England,Country,E92000001,8.9,%,164861,1846614
Percentage of people living in these neighbourhoods,Education Deprivation,10% to 20%,Black,ONS 2011 5+1,England,Country,E92000001,11,%,202209,1846614
Percentage of people living in these neighbourhoods,Education Deprivation,20% to 30%,Black,ONS 2011 5+1,England,Country,E92000001,12.5,%,230283,1846614
Percentage of people living in these neighbourhoods,Education Deprivation,30% to 40%,Black,ONS 2011 5+1,England,Country,E92000001,13.7,%,253004,1846614
Percentage of people living in these neighbourhoods,Education Deprivation,40% to 50%,Black,ONS 2011 5+1,England,Country,E92000001,13.5,%,249503,1846614
Percentage of people living in these neighbourhoods,Education Deprivation,50% to 60%,Black,ONS 2011 5+1,England,Country,E92000001,12.3,%,228043,1846614
Percentage of people living in these neighbourhoods,Education Deprivation,60% to 70%,Black,ONS 2011 5+1,England,Country,E92000001,10.1,%,187251,1846614
Percentage of people living in these neighbourhoods,Education Deprivation,70% to 80%,Black,ONS 2011 5+1,England,Country,E92000001,7.4,%,137205,1846614
Percentage of people living in these neighbourhoods,Education Deprivation,80% to 90%,Black,ONS 2011 5+1,England,Country,E92000001,6.1,%,112843,1846614
Percentage of people living in these neighbourhoods,Education Deprivation,10% least deprived,Black,ONS 2011 5+1,England,Country,E92000001,4.4,%,81412,1846614
Percentage of people living in these neighbourhoods,Health Deprivation,10% most deprived,Black,ONS 2011 5+1,England,Country,E92000001,9.6,%,176590,1846614
Percentage of people living in these neighbourhoods,Health Deprivation,10% to 20%,Black,ONS 2011 5+1,England,Country,E92000001,11.1,%,204242,1846614
Percentage of people living in these neighbourhoods,Health Deprivation,20% to 30%,Black,ONS 2011 5+1,England,Country,E92000001,13.9,%,255876,1846614
Percentage of people living in these neighbourhoods,Health Deprivation,30% to 40%,Black,ONS 2011 5+1,England,Country,E92000001,14.3,%,264703,1846614
Percentage of people living in these neighbourhoods,Health Deprivation,40% to 50%,Black,ONS 2011 5+1,England,Country,E92000001,13.3,%,245287,1846614
Percentage of people living in these neighbourhoods,Health Deprivation,50% to 60%,Black,ONS 2011 5+1,England,Country,E92000001,11.7,%,215887,1846614
Percentage of people living in these neighbourhoods,Health Deprivation,60% to 70%,Black,ONS 2011 5+1,England,Country,E92000001,9.1,%,168094,1846614
Percentage of people living in these neighbourhoods,Health Deprivation,70% to 80%,Black,ONS 2011 5+1,England,Country,E92000001,7.9,%,146504,1846614
Percentage of people living in these neighbourhoods,Health Deprivation,80% to 90%,Black,ONS 2011 5+1,England,Country,E92000001,5.1,%,94691,1846614
Percentage of people living in these neighbourhoods,Health Deprivation,10% least deprived,Black,ONS 2011 5+1,England,Country,E92000001,4,%,74740,1846614
Percentage of people living in these neighbourhoods,Crime Deprivation,10% most deprived,Black,ONS 2011 5+1,England,Country,E92000001,16.3,%,301279,1846614
Percentage of people living in these neighbourhoods,Crime Deprivation,10% to 20%,Black,ONS 2011 5+1,England,Country,E92000001,18.1,%,334151,1846614
Percentage of people living in these neighbourhoods,Crime Deprivation,20% to 30%,Black,ONS 2011 5+1,England,Country,E92000001,17.3,%,319512,1846614
Percentage of people living in these neighbourhoods,Crime Deprivation,30% to 40%,Black,ONS 2011 5+1,England,Country,E92000001,15.3,%,282844,1846614
Percentage of people living in these neighbourhoods,Crime Deprivation,40% to 50%,Black,ONS 2011 5+1,England,Country,E92000001,12.1,%,223221,1846614
Percentage of people living in these neighbourhoods,Crime Deprivation,50% to 60%,Black,ONS 2011 5+1,England,Country,E92000001,8.1,%,150407,1846614
Percentage of people living in these neighbourhoods,Crime Deprivation,60% to 70%,Black,ONS 2011 5+1,England,Country,E92000001,5.6,%,102796,1846614
Percentage of people living in these neighbourhoods,Crime Deprivation,70% to 80%,Black,ONS 2011 5+1,England,Country,E92000001,3.5,%,64013,1846614
Percentage of people living in these neighbourhoods,Crime Deprivation,80% to 90%,Black,ONS 2011 5+1,England,Country,E92000001,2.2,%,41350,1846614
Percentage of people living in these neighbourhoods,Crime Deprivation,10% least deprived,Black,ONS 2011 5+1,England,Country,E92000001,1.5,%,27041,1846614
Percentage of people living in these neighbourhoods,Housing Deprivation,10% most deprived,Black,ONS 2011 5+1,England,Country,E92000001,31.2,%,576285,1846614
Percentage of people living in these neighbourhoods,Housing Deprivation,10% to 20%,Black,ONS 2011 5+1,England,Country,E92000001,21.9,%,403776,1846614
Percentage of people living in these neighbourhoods,Housing Deprivation,20% to 30%,Black,ONS 2011 5+1,England,Country,E92000001,14.6,%,270058,1846614
Percentage of people living in these neighbourhoods,Housing Deprivation,30% to 40%,Black,ONS 2011 5+1,England,Country,E92000001,10.1,%,186969,1846614
Percentage of people living in these neighbourhoods,Housing Deprivation,40% to 50%,Black,ONS 2011 5+1,England,Country,E92000001,7.2,%,133071,1846614
Percentage of people living in these neighbourhoods,Housing Deprivation,50% to 60%,Black,ONS 2011 5+1,England,Country,E92000001,5.2,%,95479,1846614
Percentage of people living in these neighbourhoods,Housing Deprivation,60% to 70%,Black,ONS 2011 5+1,England,Country,E92000001,3.8,%,69410,1846614
Percentage of people living in these neighbourhoods,Housing Deprivation,70% to 80%,Black,ONS 2011 5+1,England,Country,E92000001,2.7,%,50249,1846614
Percentage of people living in these neighbourhoods,Housing Deprivation,80% to 90%,Black,ONS 2011 5+1,England,Country,E92000001,2,%,37271,1846614
Percentage of people living in these neighbourhoods,Housing Deprivation,10% least deprived,Black,ONS 2011 5+1,England,Country,E92000001,1.3,%,24046,1846614
Percentage of people living in these neighbourhoods,Environment Deprivation,10% most deprived,Black,ONS 2011 5+1,England,Country,E92000001,12.7,%,235440,1846614
Percentage of people living in these neighbourhoods,Environment Deprivation,10% to 20%,Black,ONS 2011 5+1,England,Country,E92000001,20,%,368442,1846614
Percentage of people living in these neighbourhoods,Environment Deprivation,20% to 30%,Black,ONS 2011 5+1,England,Country,E92000001,19.4,%,357531,1846614
Percentage of people living in these neighbourhoods,Environment Deprivation,30% to 40%,Black,ONS 2011 5+1,England,Country,E92000001,15.9,%,292780,1846614
Percentage of people living in these neighbourhoods,Environment Deprivation,40% to 50%,Black,ONS 2011 5+1,England,Country,E92000001,11,%,203164,1846614
Percentage of people living in these neighbourhoods,Environment Deprivation,50% to 60%,Black,ONS 2011 5+1,England,Country,E92000001,7.4,%,135913,1846614
Percentage of people living in these neighbourhoods,Environment Deprivation,60% to 70%,Black,ONS 2011 5+1,England,Country,E92000001,5.2,%,95485,1846614
Percentage of people living in these neighbourhoods,Environment Deprivation,70% to 80%,Black,ONS 2011 5+1,England,Country,E92000001,3.8,%,70503,1846614
Percentage of people living in these neighbourhoods,Environment Deprivation,80% to 90%,Black,ONS 2011 5+1,England,Country,E92000001,2.8,%,52312,1846614
Percentage of people living in these neighbourhoods,Environment Deprivation,10% least deprived,Black,ONS 2011 5+1,England,Country,E92000001,1.9,%,35044,1846614
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% most deprived,Black African,ONS 2011 18+1,England,Country,E92000001,15.6,%,152096,977741
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% to 20%,Black African,ONS 2011 18+1,England,Country,E92000001,22.8,%,223391,977741
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,20% to 30%,Black African,ONS 2011 18+1,England,Country,E92000001,20.6,%,201307,977741
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,30% to 40%,Black African,ONS 2011 18+1,England,Country,E92000001,12.9,%,125855,977741
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,40% to 50%,Black African,ONS 2011 18+1,England,Country,E92000001,9,%,88206,977741
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,50% to 60%,Black African,ONS 2011 18+1,England,Country,E92000001,6.4,%,62510,977741
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,60% to 70%,Black African,ONS 2011 18+1,England,Country,E92000001,4.5,%,44012,977741
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,70% to 80%,Black African,ONS 2011 18+1,England,Country,E92000001,3.4,%,33373,977741
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,80% to 90%,Black African,ONS 2011 18+1,England,Country,E92000001,2.8,%,27266,977741
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% least deprived,Black African,ONS 2011 18+1,England,Country,E92000001,2,%,19725,977741
Percentage of people living in these neighbourhoods,Income Deprivation,10% most deprived,Black African,ONS 2011 18+1,England,Country,E92000001,20.2,%,197463,977741
Percentage of people living in these neighbourhoods,Income Deprivation,10% to 20%,Black African,ONS 2011 18+1,England,Country,E92000001,22.2,%,217477,977741
Percentage of people living in these neighbourhoods,Income Deprivation,20% to 30%,Black African,ONS 2011 18+1,England,Country,E92000001,17.7,%,173194,977741
Percentage of people living in these neighbourhoods,Income Deprivation,30% to 40%,Black African,ONS 2011 18+1,England,Country,E92000001,12.7,%,124414,977741
Percentage of people living in these neighbourhoods,Income Deprivation,40% to 50%,Black African,ONS 2011 18+1,England,Country,E92000001,9,%,88383,977741
Percentage of people living in these neighbourhoods,Income Deprivation,50% to 60%,Black African,ONS 2011 18+1,England,Country,E92000001,5.8,%,57100,977741
Percentage of people living in these neighbourhoods,Income Deprivation,60% to 70%,Black African,ONS 2011 18+1,England,Country,E92000001,4,%,38938,977741
Percentage of people living in these neighbourhoods,Income Deprivation,70% to 80%,Black African,ONS 2011 18+1,England,Country,E92000001,3.1,%,29829,977741
Percentage of people living in these neighbourhoods,Income Deprivation,80% to 90%,Black African,ONS 2011 18+1,England,Country,E92000001,2.4,%,23756,977741
Percentage of people living in these neighbourhoods,Income Deprivation,10% least deprived,Black African,ONS 2011 18+1,England,Country,E92000001,2.8,%,27187,977741
Percentage of people living in these neighbourhoods,Employment Deprivation,10% most deprived,Black African,ONS 2011 18+1,England,Country,E92000001,12.6,%,123045,977741
Percentage of people living in these neighbourhoods,Employment Deprivation,10% to 20%,Black African,ONS 2011 18+1,England,Country,E92000001,17.3,%,168828,977741
Percentage of people living in these neighbourhoods,Employment Deprivation,20% to 30%,Black African,ONS 2011 18+1,England,Country,E92000001,17.7,%,172574,977741
Percentage of people living in these neighbourhoods,Employment Deprivation,30% to 40%,Black African,ONS 2011 18+1,England,Country,E92000001,14.3,%,139462,977741
Percentage of people living in these neighbourhoods,Employment Deprivation,40% to 50%,Black African,ONS 2011 18+1,England,Country,E92000001,10.9,%,107001,977741
Percentage of people living in these neighbourhoods,Employment Deprivation,50% to 60%,Black African,ONS 2011 18+1,England,Country,E92000001,8.6,%,84208,977741
Percentage of people living in these neighbourhoods,Employment Deprivation,60% to 70%,Black African,ONS 2011 18+1,England,Country,E92000001,6.4,%,62902,977741
Percentage of people living in these neighbourhoods,Employment Deprivation,70% to 80%,Black African,ONS 2011 18+1,England,Country,E92000001,4.3,%,42189,977741
Percentage of people living in these neighbourhoods,Employment Deprivation,80% to 90%,Black African,ONS 2011 18+1,England,Country,E92000001,3.9,%,38434,977741
Percentage of people living in these neighbourhoods,Employment Deprivation,10% least deprived,Black African,ONS 2011 18+1,England,Country,E92000001,4,%,39098,977741
Percentage of people living in these neighbourhoods,Education Deprivation,10% most deprived,Black African,ONS 2011 18+1,England,Country,E92000001,9.5,%,93358,977741
Percentage of people living in these neighbourhoods,Education Deprivation,10% to 20%,Black African,ONS 2011 18+1,England,Country,E92000001,11,%,107702,977741
Percentage of people living in these neighbourhoods,Education Deprivation,20% to 30%,Black African,ONS 2011 18+1,England,Country,E92000001,13,%,127098,977741
Percentage of people living in these neighbourhoods,Education Deprivation,30% to 40%,Black African,ONS 2011 18+1,England,Country,E92000001,14.5,%,141429,977741
Percentage of people living in these neighbourhoods,Education Deprivation,40% to 50%,Black African,ONS 2011 18+1,England,Country,E92000001,13.6,%,132952,977741
Percentage of people living in these neighbourhoods,Education Deprivation,50% to 60%,Black African,ONS 2011 18+1,England,Country,E92000001,12,%,117176,977741
Percentage of people living in these neighbourhoods,Education Deprivation,60% to 70%,Black African,ONS 2011 18+1,England,Country,E92000001,9.8,%,95719,977741
Percentage of people living in these neighbourhoods,Education Deprivation,70% to 80%,Black African,ONS 2011 18+1,England,Country,E92000001,6.8,%,66499,977741
Percentage of people living in these neighbourhoods,Education Deprivation,80% to 90%,Black African,ONS 2011 18+1,England,Country,E92000001,5.7,%,56176,977741
Percentage of people living in these neighbourhoods,Education Deprivation,10% least deprived,Black African,ONS 2011 18+1,England,Country,E92000001,4.1,%,39632,977741
Percentage of people living in these neighbourhoods,Health Deprivation,10% most deprived,Black African,ONS 2011 18+1,England,Country,E92000001,10.6,%,103529,977741
Percentage of people living in these neighbourhoods,Health Deprivation,10% to 20%,Black African,ONS 2011 18+1,England,Country,E92000001,10.5,%,102409,977741
Percentage of people living in these neighbourhoods,Health Deprivation,20% to 30%,Black African,ONS 2011 18+1,England,Country,E92000001,13.7,%,133834,977741
Percentage of people living in these neighbourhoods,Health Deprivation,30% to 40%,Black African,ONS 2011 18+1,England,Country,E92000001,14.6,%,142476,977741
Percentage of people living in these neighbourhoods,Health Deprivation,40% to 50%,Black African,ONS 2011 18+1,England,Country,E92000001,13.3,%,130518,977741
Percentage of people living in these neighbourhoods,Health Deprivation,50% to 60%,Black African,ONS 2011 18+1,England,Country,E92000001,11.8,%,115637,977741
Percentage of people living in these neighbourhoods,Health Deprivation,60% to 70%,Black African,ONS 2011 18+1,England,Country,E92000001,8.9,%,87476,977741
Percentage of people living in these neighbourhoods,Health Deprivation,70% to 80%,Black African,ONS 2011 18+1,England,Country,E92000001,7.5,%,73046,977741
Percentage of people living in these neighbourhoods,Health Deprivation,80% to 90%,Black African,ONS 2011 18+1,England,Country,E92000001,4.9,%,48068,977741
Percentage of people living in these neighbourhoods,Health Deprivation,10% least deprived,Black African,ONS 2011 18+1,England,Country,E92000001,4.2,%,40748,977741
Percentage of people living in these neighbourhoods,Crime Deprivation,10% most deprived,Black African,ONS 2011 18+1,England,Country,E92000001,17.9,%,175141,977741
Percentage of people living in these neighbourhoods,Crime Deprivation,10% to 20%,Black African,ONS 2011 18+1,England,Country,E92000001,17.8,%,174470,977741
Percentage of people living in these neighbourhoods,Crime Deprivation,20% to 30%,Black African,ONS 2011 18+1,England,Country,E92000001,17,%,166698,977741
Percentage of people living in these neighbourhoods,Crime Deprivation,30% to 40%,Black African,ONS 2011 18+1,England,Country,E92000001,14.9,%,145616,977741
Percentage of people living in these neighbourhoods,Crime Deprivation,40% to 50%,Black African,ONS 2011 18+1,England,Country,E92000001,11.7,%,114545,977741
Percentage of people living in these neighbourhoods,Crime Deprivation,50% to 60%,Black African,ONS 2011 18+1,England,Country,E92000001,8,%,77891,977741
Percentage of people living in these neighbourhoods,Crime Deprivation,60% to 70%,Black African,ONS 2011 18+1,England,Country,E92000001,5.4,%,52848,977741
Percentage of people living in these neighbourhoods,Crime Deprivation,70% to 80%,Black African,ONS 2011 18+1,England,Country,E92000001,3.4,%,33481,977741
Percentage of people living in these neighbourhoods,Crime Deprivation,80% to 90%,Black African,ONS 2011 18+1,England,Country,E92000001,2.3,%,22594,977741
Percentage of people living in these neighbourhoods,Crime Deprivation,10% least deprived,Black African,ONS 2011 18+1,England,Country,E92000001,1.5,%,14457,977741
Percentage of people living in these neighbourhoods,Housing Deprivation,10% most deprived,Black African,ONS 2011 18+1,England,Country,E92000001,32.3,%,315648,977741
Percentage of people living in these neighbourhoods,Housing Deprivation,10% to 20%,Black African,ONS 2011 18+1,England,Country,E92000001,21.4,%,209716,977741
Percentage of people living in these neighbourhoods,Housing Deprivation,20% to 30%,Black African,ONS 2011 18+1,England,Country,E92000001,13.8,%,135247,977741
Percentage of people living in these neighbourhoods,Housing Deprivation,30% to 40%,Black African,ONS 2011 18+1,England,Country,E92000001,9.9,%,97036,977741
Percentage of people living in these neighbourhoods,Housing Deprivation,40% to 50%,Black African,ONS 2011 18+1,England,Country,E92000001,7.3,%,71768,977741
Percentage of people living in these neighbourhoods,Housing Deprivation,50% to 60%,Black African,ONS 2011 18+1,England,Country,E92000001,5.3,%,51380,977741
Percentage of people living in these neighbourhoods,Housing Deprivation,60% to 70%,Black African,ONS 2011 18+1,England,Country,E92000001,3.9,%,38136,977741
Percentage of people living in these neighbourhoods,Housing Deprivation,70% to 80%,Black African,ONS 2011 18+1,England,Country,E92000001,2.7,%,26793,977741
Percentage of people living in these neighbourhoods,Housing Deprivation,80% to 90%,Black African,ONS 2011 18+1,England,Country,E92000001,2,%,19689,977741
Percentage of people living in these neighbourhoods,Housing Deprivation,10% least deprived,Black African,ONS 2011 18+1,England,Country,E92000001,1.3,%,12328,977741
Percentage of people living in these neighbourhoods,Environment Deprivation,10% most deprived,Black African,ONS 2011 18+1,England,Country,E92000001,11.7,%,114636,977741
Percentage of people living in these neighbourhoods,Environment Deprivation,10% to 20%,Black African,ONS 2011 18+1,England,Country,E92000001,18.4,%,179884,977741
Percentage of people living in these neighbourhoods,Environment Deprivation,20% to 30%,Black African,ONS 2011 18+1,England,Country,E92000001,18.6,%,181501,977741
Percentage of people living in these neighbourhoods,Environment Deprivation,30% to 40%,Black African,ONS 2011 18+1,England,Country,E92000001,16,%,156037,977741
Percentage of people living in these neighbourhoods,Environment Deprivation,40% to 50%,Black African,ONS 2011 18+1,England,Country,E92000001,11.4,%,111947,977741
Percentage of people living in these neighbourhoods,Environment Deprivation,50% to 60%,Black African,ONS 2011 18+1,England,Country,E92000001,8.2,%,80199,977741
Percentage of people living in these neighbourhoods,Environment Deprivation,60% to 70%,Black African,ONS 2011 18+1,England,Country,E92000001,5.9,%,57470,977741
Percentage of people living in these neighbourhoods,Environment Deprivation,70% to 80%,Black African,ONS 2011 18+1,England,Country,E92000001,4.4,%,43490,977741
Percentage of people living in these neighbourhoods,Environment Deprivation,80% to 90%,Black African,ONS 2011 18+1,England,Country,E92000001,3.3,%,31997,977741
Percentage of people living in these neighbourhoods,Environment Deprivation,10% least deprived,Black African,ONS 2011 18+1,England,Country,E92000001,2.1,%,20580,977741
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% most deprived,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,14.1,%,83463,591016
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% to 20%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,21,%,123998,591016
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,20% to 30%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,19.1,%,112789,591016
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,30% to 40%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,13.9,%,82190,591016
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,40% to 50%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,10.5,%,62253,591016
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,50% to 60%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,7.8,%,46289,591016
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,60% to 70%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,5,%,29442,591016
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,70% to 80%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,3.6,%,21564,591016
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,80% to 90%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,2.9,%,16913,591016
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% least deprived,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,2,%,12115,591016
Percentage of people living in these neighbourhoods,Income Deprivation,10% most deprived,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,18.2,%,107635,591016
Percentage of people living in these neighbourhoods,Income Deprivation,10% to 20%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,20.1,%,119007,591016
Percentage of people living in these neighbourhoods,Income Deprivation,20% to 30%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,16.7,%,98818,591016
Percentage of people living in these neighbourhoods,Income Deprivation,30% to 40%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,14.3,%,84332,591016
Percentage of people living in these neighbourhoods,Income Deprivation,40% to 50%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,10.9,%,64298,591016
Percentage of people living in these neighbourhoods,Income Deprivation,50% to 60%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,7.1,%,41754,591016
Percentage of people living in these neighbourhoods,Income Deprivation,60% to 70%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,4.5,%,26438,591016
Percentage of people living in these neighbourhoods,Income Deprivation,70% to 80%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,3.1,%,18574,591016
Percentage of people living in these neighbourhoods,Income Deprivation,80% to 90%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,2.7,%,15766,591016
Percentage of people living in these neighbourhoods,Income Deprivation,10% least deprived,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,2.4,%,14394,591016
Percentage of people living in these neighbourhoods,Employment Deprivation,10% most deprived,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,11.7,%,69223,591016
Percentage of people living in these neighbourhoods,Employment Deprivation,10% to 20%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,16.8,%,99270,591016
Percentage of people living in these neighbourhoods,Employment Deprivation,20% to 30%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,16.1,%,95223,591016
Percentage of people living in these neighbourhoods,Employment Deprivation,30% to 40%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,13.8,%,81775,591016
Percentage of people living in these neighbourhoods,Employment Deprivation,40% to 50%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,11.8,%,69612,591016
Percentage of people living in these neighbourhoods,Employment Deprivation,50% to 60%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,10.2,%,60346,591016
Percentage of people living in these neighbourhoods,Employment Deprivation,60% to 70%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,7.4,%,43610,591016
Percentage of people living in these neighbourhoods,Employment Deprivation,70% to 80%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,5,%,29275,591016
Percentage of people living in these neighbourhoods,Employment Deprivation,80% to 90%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,3.9,%,22886,591016
Percentage of people living in these neighbourhoods,Employment Deprivation,10% least deprived,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,3.3,%,19796,591016
Percentage of people living in these neighbourhoods,Education Deprivation,10% most deprived,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,7.8,%,46035,591016
Percentage of people living in these neighbourhoods,Education Deprivation,10% to 20%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,10.9,%,64130,591016
Percentage of people living in these neighbourhoods,Education Deprivation,20% to 30%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,11.7,%,69030,591016
Percentage of people living in these neighbourhoods,Education Deprivation,30% to 40%,Black Caribbean,ONS 2011 18+1,England,Country,E92000001,12.7,%,74814,591016
